v8-version,5,1,281,88,0
code-creation,Stub,15,0x3d2d2ea22c60,212,"BinaryOpICStub"
code-creation,Stub,15,0x3d2d2ea22d40,212,"BinaryOpICStub"
code-creation,Handler,4,0x3d2d2ea22e20,120,"An IC handler from the snapshot"
code-creation,Stub,15,0x3d2d2ea22ea0,244,"BinaryOpICStub"
code-creation,Handler,4,0x3d2d2ea22fa0,935,"An IC handler from the snapshot"
code-creation,Handler,4,0x3d2d2ea23360,116,"An IC handler from the snapshot"
code-creation,Handler,4,0x3d2d2ea233e0,120,"An IC handler from the snapshot"
code-creation,Stub,3,0x3d2d2ea23460,117,"ToNumberStub"
code-creation,CallIC,12,0x3d2d2ea234e0,458,"A call IC from the snapshot"
code-creation,Handler,4,0x3d2d2ea236c0,120,"An IC handler from the snapshot"
code-creation,Handler,4,0x3d2d2ea23740,120,"An IC handler from the snapshot"
code-creation,Handler,4,0x3d2d2ea237c0,116,"An IC handler from the snapshot"
code-creation,Handler,4,0x3d2d2ea23840,116,"An IC handler from the snapshot"
code-creation,KeyedLoadIC,11,0x3d2d2ea238c0,393,"A keyed load IC from the snapshot"
code-creation,KeyedLoadIC,11,0x3d2d2ea23a60,1049,"A keyed load IC from the snapshot"
code-creation,Stub,3,0x3d2d2ea23e80,968,"NameDictionaryLookupStub"
code-creation,Stub,15,0x3d2d2ea24260,467,"BinaryOpICStub"
code-creation,Stub,15,0x3d2d2ea24440,204,"BinaryOpICStub"
code-creation,Stub,3,0x3d2d2ea24520,945,"SubStringStub"
code-creation,Stub,3,0x3d2d2ea248e0,791,"FastNewClosureStub"
tick,0xd5b1c0,18438,0,0x0,4
tick,0x7f6442ccc6fd,18471,0,0x0,4
tick,0x7f6442ccc6fd,18496,0,0x0,4
tick,0x7f6442ccc6fd,18518,0,0x0,4
tick,0x7f6442faf30a,18541,0,0x0,4
code-creation,Stub,15,0x3d2d2ea24c00,419,"BinaryOpICStub"
code-creation,Stub,15,0x3d2d2ea24dc0,415,"BinaryOpICStub"
code-creation,Stub,3,0x3d2d2ea24f60,385,"JSEntryStub"
code-creation,CallIC,12,0x3d2d2ea25100,113,"A call IC from the snapshot"
code-creation,CallIC,12,0x3d2d2ea25180,464,"A call IC from the snapshot"
code-creation,Stub,3,0x3d2d2ea25360,345,"InstanceOfStub"
code-creation,Stub,15,0x3d2d2ea254c0,447,"BinaryOpICStub"
code-creation,Stub,15,0x3d2d2ea25680,151,"BinaryOpICStub"
code-creation,StoreIC,13,0x3d2d2ea25720,528,"A store IC from the snapshot"
code-creation,Handler,4,0x3d2d2ea25940,120,"An IC handler from the snapshot"
code-creation,Stub,17,0x3d2d2ea259c0,192,"ToBooleanICStub"
code-creation,KeyedStoreIC,14,0x3d2d2ea25a80,422,"A keyed store IC from the snapshot"
code-creation,KeyedStoreIC,14,0x3d2d2ea25c40,3494,"A keyed store IC from the snapshot"
code-creation,Stub,3,0x3d2d2ea26a00,1526,"RecordWriteStub"
code-creation,Stub,3,0x3d2d2ea27000,1508,"RecordWriteStub"
code-creation,Stub,3,0x3d2d2ea27600,1492,"RecordWriteStub"
code-creation,Stub,3,0x3d2d2ea27be0,600,"RecordWriteStub"
code-creation,Handler,4,0x3d2d2ea27e40,120,"An IC handler from the snapshot"
code-creation,Stub,15,0x3d2d2ea27ec0,224,"BinaryOpICStub"
code-creation,Handler,4,0x3d2d2ea27fa0,939,"An IC handler from the snapshot"
code-creation,Handler,4,0x3d2d2ea28360,120,"An IC handler from the snapshot"
code-creation,CallIC,12,0x3d2d2ea283e0,464,"A call IC from the snapshot"
code-creation,Handler,4,0x3d2d2ea285c0,951,"An IC handler from the snapshot"
code-creation,CallIC,12,0x3d2d2ea28980,113,"A call IC from the snapshot"
code-creation,CallIC,12,0x3d2d2ea28a00,464,"A call IC from the snapshot"
code-creation,Handler,4,0x3d2d2ea28be0,116,"An IC handler from the snapshot"
code-creation,Handler,4,0x3d2d2ea28c60,120,"An IC handler from the snapshot"
code-creation,Stub,15,0x3d2d2ea28ce0,443,"BinaryOpICStub"
code-creation,Handler,4,0x3d2d2ea28ea0,348,"An IC handler from the snapshot"
code-creation,Stub,15,0x3d2d2ea29000,443,"BinaryOpICStub"
code-creation,Stub,15,0x3d2d2ea291c0,244,"BinaryOpICStub"
code-creation,Stub,15,0x3d2d2ea292c0,204,"BinaryOpICStub"
code-creation,Stub,17,0x3d2d2ea293a0,204,"ToBooleanICStub"
code-creation,Handler,4,0x3d2d2ea29480,116,"An IC handler from the snapshot"
code-creation,Handler,4,0x3d2d2ea29500,116,"An IC handler from the snapshot"
code-creation,Stub,15,0x3d2d2ea29580,212,"BinaryOpICStub"
code-creation,Stub,15,0x3d2d2ea29660,204,"BinaryOpICStub"
code-creation,CallIC,12,0x3d2d2ea29740,113,"A call IC from the snapshot"
code-creation,Handler,4,0x3d2d2ea297c0,116,"An IC handler from the snapshot"
code-creation,Handler,4,0x3d2d2ea29840,116,"An IC handler from the snapshot"
